,User,Date Created,Number of Likes,Number of Retweet,Source of Tweet,Tweet
0,Nandram,2022-09-26 09:00:01+00:00,0,70,Twitter for Android,"RT @Real_Jat_: #GodMorningMonday
Do you know that Supreme God has arrived in India. @SaintRampalJiM https://t.co/ilT7AdE47C"
1,Sã Mîm,2022-09-26 09:00:01+00:00,0,362,Twitter Web App,RT @myntra: Eyeing Indian brands? Let's see if you can list out all the made in India brands available on Myntra. A Myntra Gift Voucher of…
2,Dr Nemi Chandra Rathore,2022-09-26 09:00:01+00:00,0,1824,Twitter Web App,"RT @HappymonJacob: Next time China calls Arunachal Pradesh Southern Tibet, India should respond by calling Tibet ‘Northwestern Arunachal Pr…"
3,Randomised Weather,2022-09-26 09:00:01+00:00,0,0,RandomisedWeather,"At 14:30 Monday, 26 September 2022 (GMT +05:30) in Sri Madhopur, India it was 33.0°C and sunny. 
Wind direction: NW… https://t.co/9G4casnKT1"
4,Bishwajit Mandal,2022-09-26 09:00:01+00:00,0,117,Twitter for Android,"RT @anujdhar: After India became free, there was no inquiry into the Nilganj massacre. A jute research institute was opened at the very sit…"
5,Officers IAS Academy,2022-09-26 09:00:01+00:00,0,0,Twitter Web App,"IAS Story: पापा से कहा अफसर बनकर दिखाऊंगी और 22 साल की उम्र में बन गईं आईएएस, पढ़िए पूरी कहानी

https://t.co/GDxyjHqhok"
6,सतेन्द्र सिंह (सतेन्द्र कुमार प्रजापति),2022-09-26 09:00:01+00:00,0,7,Twitter for Android,"RT @narendramodi_in: PM @narendramodi urges people to reduce plastic pollution, promotes use of non-plastic bags #MannKiBaat
https://t.co/T…"
7,Sunny Shinde,2022-09-26 09:00:01+00:00,0,0,Twitter for Android,"@BCCI I don't understand why is India scheduled to play 3 ODI's before the T20 World Cup. Instead, they could have… https://t.co/eH3bHkQehi"
8,Ericsson India,2022-09-26 09:00:01+00:00,0,0,Twitter for Advertisers,"Upcoming !

Join us at the India Mobile Congress as we bring 5G to life through ground-breaking India 🇮🇳 focused… https://t.co/eHggHjel2N"
9,SS,2022-09-26 09:00:00+00:00,0,236,Twitter for Android,"RT @UniqueForLife_: Brits talking about the spirit of Cricket.😂

#mankading #Mankad #DeeptiSharma #Deepti #Runout #ENGvsIND #ENGWvsINDW #EN…"
10,Cuatro,2022-09-26 09:00:00+00:00,0,0,Besocy_Oficial,Un niño de 12 años denuncia ser víctima de una brutal violación por parte de cuatro amigos https://t.co/Og3kA0bxKr
11,Nitya Singh,2022-09-26 09:00:00+00:00,0,571,Twitter Web App,RT @BesuraTaansane: This is not even funny anymore - this scoundrel is convicted on multiple counts of serious fraud &amp; he wants to save Ind…
12,ORF,2022-09-26 09:00:00+00:00,0,0,TweetDeck,#India could aim to achieve 50% #mobile use for financial transactions among #women by 2030. This would catalyse wo… https://t.co/CO93ywite9
13,jpc,2022-09-26 09:00:00+00:00,0,13,Twitter for Android,"RT @imtechnonitin: खामोशियों से कहाँ
चलती है जिन्दगी,
आवाज उठानी पड़ती है,
हक पाने के लिए।
@Vijaykbandhu  @imtechnonitin @bprawatNOPRUF @NO…"
14,With Ajay Singh,2022-09-26 09:00:00+00:00,0,9394,Twitter for Android,"RT @RahulGandhi: The idea behind #BharatJodoYatra is crystal clear - an India that is hateful and divided, where youth don’t have jobs and…"
15,Shaikh Noorul Hasan,2022-09-26 09:00:00+00:00,0,234,Twitter for Android,"RT @AzizurTweets: The #PFI leaders have been charged under the #UAPA because they ""conspired to turn India into an Islamic nation"".

Some #…"
16,⚠💙💯 Follow BACK ☮️🌊 PEACE World USA தமிழ்,2022-09-26 09:00:00+00:00,0,0,Microsoft Power Platform,"Protests erupt in Russia's Dagestan region over Putin's mobilization orders https://t.co/KekvVgGXYS
#Biden #CNN… https://t.co/IrDvzIHBuq"
17,Research on Improving Systems of Education (RISE),2022-09-26 09:00:00+00:00,0,0,Twitter Web App,"*NEW WP* COVID-19 Learning Loss and Recovery: Panel Data Evidence from India

✍️ Abhijeet Singh, Mauricio Romero, K… https://t.co/HgTCjhiu6o"
18,Metro België,2022-09-26 09:00:00+00:00,0,0,Buffer,"""Als ik ’s morgens de deur van mijn bureau open, weet ik nooit op voorhand hoe mijn werkdag eruit zal zien maar dat… https://t.co/DLyAdaUsqt"
19,Mid Day,2022-09-26 09:00:00+00:00,0,0,TweetDeck,"#MiddayNews |

Ankita Bhandari murder: Uttarakhand CM instructs officials to ensure law and order

#AnkitaBhandari… https://t.co/PBnaMSfouG"
20,tay,2022-09-26 09:00:00+00:00,0,0,Twitter for Android,Or India for that matter https://t.co/qtMPdZjDOH
21,Frontline,2022-09-26 09:00:00+00:00,0,0,TweetDeck,#UkraineRussiaWar | The Russians had underestimated both the will of Ukrainian nationalists to resist &amp; the willing… https://t.co/ZoPfTm6pW2
22,virat sharma,2022-09-26 08:59:59+00:00,0,29,Twitter for Android,"RT @KaynarOhad: Indian nominal GDP growth is staggering.  In 4 years it grew by 1 trillion USD !!! 🙌 

The future for #Israel #India econom…"
23,Aman,2022-09-26 08:59:59+00:00,0,33,Twitter for iPhone,"RT @RituRathaur: In secular New India, 
Gaurakshaks are called goondas while gaubhakshaks are rewarded with waqf lands, religion based sche…"
24,National Herald,2022-09-26 08:59:59+00:00,0,0,National Herald,"A gunman on Monday morning killed six people and wounded 20 others in a school in central #Russia, local police said https://t.co/Rn9oexgt9h"
25,Nikhil Shinde,2022-09-26 08:59:59+00:00,0,0,Twitter for Android,@JhulanG10 @BCCI @BCCIWomen Thank you Ma'am...Thank you for Playing for India for 20 + years..Thank you for being a… https://t.co/Vew91BQ8dP
26,Skyups Media,2022-09-26 08:59:59+00:00,0,0,Twitter for Android,#Fisker #India https://t.co/3TfKTziE5D
27,Krishna Harjule,2022-09-26 08:59:59+00:00,0,1824,Twitter for Android,"RT @HappymonJacob: Next time China calls Arunachal Pradesh Southern Tibet, India should respond by calling Tibet ‘Northwestern Arunachal Pr…"
28,Jayeshpatel16,2022-09-26 08:59:59+00:00,0,16,Twitter for Android,"RT @imtechnonitin: डरने वालों को मिलता नहीं कुछ जिंदगी में,
लड़ने वालों के कदमों में जहान होता है।
@Vijaykbandhu  @imtechnonitin @bprawatNO…"
29,Prince,2022-09-26 08:59:59+00:00,0,16,Twitter for Android,RT @ChaitraReddyoff: #Thunivu Pan India Release 🔥🔥
30,Umeshd78,2022-09-26 08:59:59+00:00,0,878,Twitter for Android,"RT @cogitoiam: Spirit of Cricket is like Secularism, something English won't follow themselves but made mandatory for brown shoulders.

Eng…"
31,sarat pradhan,2022-09-26 08:59:58+00:00,0,606,Twitter for Android,"RT @achyuta_samanta: Honoured Mr. Ary Graça, the President of the Fédération Internationale de Volleyball (FIVB) in a traditional style on…"
32,Elias ❁,2022-09-26 08:59:58+00:00,0,0,Twitter Web App,@akshar2026 @surya_14kumar @DineshKarthik @BCCI @ImRo45 Aksar  india t20 squad need you.
33,Ram Chahal,2022-09-26 08:59:58+00:00,0,338,Twitter for Android,"RT @Ankushj36367699: Please think about innocent youth...... don't play youths future please.....
Please give chance youth for development…"
34,@praveen7sam,2022-09-26 08:59:58+00:00,0,884,Twitter for Android,"RT @toi_Movies: Who has Highest Fan Following in India ? 

#ShahRukhKhan𓀠 #Pathaan | #Prabhas #Adipurush | #AkshayKumar #Ramsetu | #Varisu…"
35,Kishore B 🇮🇳,2022-09-26 08:59:58+00:00,0,1105,Twitter for Android,"RT @KapilMishra_IND: झूठे केजरीवाल ने गुजरात में सबसे बड़ा झूठ गुजरात के युवाओं से बोला 

सूरत के खचाखच भरे इस विशाल सभागार में झूठे केजरी…"
36,"मिर्ची, हाय - हाय मिर्ची",2022-09-26 08:59:58+00:00,0,175,Twitter for Android,"RT @bharatjodo: “It’s a great program to unite India!”

Read here about what Indians from all walks of life have to say about the #BharatJo…"
37,Navin Sabharwal,2022-09-26 08:59:58+00:00,0,1322,Twitter Web App,"RT @ShobhaBJP: How many of us are familiar with the architectural marvel of Brihadeshwara Temple in Thanjavur, Tamil Nadu?

Listen to actor…"
38,Gyaani,2022-09-26 08:59:58+00:00,0,0,Twitter for iPhone,"@INCIndia @SupriyaShrinate Dollar bahut se desho ki currency ke samne strong hua hai, sirf India nahi, ap sab log c… https://t.co/qv2ChsvIDx"
39,🌸rada,2022-09-26 08:59:57+00:00,0,28,Twitter for iPhone,"RT @TeamEXOIndia: [EXO XIUMIN - 'BRAND NEW’ India Group Order]

🔷Photobook: ₹1900/-
🔷 Digipack: ₹1500/-

Pre-order Form: https://t.co/uHbLJ…"
40,भगवाधारीसंतोषहिन्दू #HinduForce #प्रशासक_समिति #ॐ,2022-09-26 08:59:57+00:00,0,240,Twitter for Android,"RT @OpIndia_in: ‘तालिबान ने हमें जेल में ठूँस दिया, काट डाले बाल’: अफगानिस्तान से भारत लौटा 55 सिखों का जत्था, मदद के लिए PM मोदी का जताया…"
41,Rahul Tripathi,2022-09-26 08:59:57+00:00,0,5,Twitter for Android,RT @TheLegateIN: NaVIC to be made compulsory for smartphones in India.
42,raviteja bachala,2022-09-26 08:59:57+00:00,0,470,Twitter Web App,RT @IndianTechGuide: Engineering education in India is facing challenges with colleges hardly able to fill 1/3rd of available seats for non…
43,Ananya Sarkar,2022-09-26 08:59:57+00:00,0,7,Twitter for iPhone,"RT @ovshake42: The highest contract for India Women (50L) are significantly lower than the lowest contract for India Men (1CR).

If not a c…"
44,Jayeshpatel16,2022-09-26 08:59:57+00:00,0,16,Twitter for Android,"RT @imtechnonitin: ढूढ़ लेना अंधेरे में ही मंज़िल अपनी दोस्तों,
क्योंकि जुगनू कभी रोशनी के मोहताज़ नहीं होते। OPS OPS #onlyOPS @vijaykbandh…"
45,namami,2022-09-26 08:59:57+00:00,0,8,Twitter for Android,"RT @jnmfsm: "" The address of welcome that you have just given me mentions my book The discovery of India. Ever since I was given the opport…"
46,विपिन शर्मा बीजेपी,2022-09-26 08:59:56+00:00,0,31,Twitter for Android,"RT @adeshguptabjp: Must read...

At G20, India Can Show The Way!

PM @narendramodi ji’s welfare, empowerment schemes should be a blueprint…"
47,Sooraj SR,2022-09-26 08:59:56+00:00,0,7584,Twitter for Android,"RT @RahulGandhi: Wishing one of India’s finest statesman, Dr Manmohan Singh ji a very happy birthday. 

His humility, dedication and contri…"
48,Alexander TT,2022-09-26 08:59:56+00:00,0,0,Twitter for Android,@poorvika_india Thanks for your response. Can you be specific with timelines. Shouldn't be an everlasting story...
49,GrunBeld ,2022-09-26 08:59:56+00:00,0,19,Twitter for Android,"RT @ZeeTamilNews: ரசிகர்களுக்கு கடுமையான எச்சரிக்கை விடுத்த 'சூர்யா 42' படக்குழுவினர்!

#Suriya42 | #Suriya | #Siruthaisiva

https://t.co/C…"
50,With Ajay Singh,2022-09-26 08:59:56+00:00,0,13946,Twitter for Android,"RT @RahulGandhi: PM often asks- ‘70 saal mein kya kiya?’ 

We never gave India the highest-ever unemployment.

We never gave India record p…"
51,turbo,2022-09-26 08:59:56+00:00,0,132,Twitter for Android,"RT @DelhiPolice: Lane Driving is Safe Driving !
 
Meanwhile, Bade Bade Matches Mei India Axar aisi Virat Jeet Haasil Karti Rehti Hai. As Te…"
52,Movie's Addict,2022-09-26 08:59:56+00:00,0,44,Twitter for Android,RT @Cricketracker: Deepti Sharma opens up on the run-out controversy at non striker's end in the third ODI between England women and India…
53,Joseph Abraham Puthumana,2022-09-26 08:59:56+00:00,0,878,Twitter for Android,"RT @cogitoiam: Spirit of Cricket is like Secularism, something English won't follow themselves but made mandatory for brown shoulders.

Eng…"
54,jpc,2022-09-26 08:59:56+00:00,0,13,Twitter for Android,"RT @imtechnonitin: डरने वालों को मिलता नहीं कुछ जिंदगी में,
लड़ने वालों के कदमों में जहान होता है।@vijaykbandhu  @imtechnonitin @bprawatNOP…"
55,Kusum Sharma,2022-09-26 08:59:55+00:00,0,0,Twitter for iPhone,"World expects PM Modi to play key role in global peace
 https://t.co/8qPBlfmQD9
  We Indians are proud of you sir… https://t.co/3mgXCZWZJk"
56,🕌⛏️,2022-09-26 08:59:55+00:00,0,370,Twitter for Android,"RT @arunpudur: Muslims (Taliban) cheated us, they imprisoned us, butchered our hair in prison: #Sikhs thank Modi govt for rescuing them fro…"
57,Krishna Kant Mishra,2022-09-26 08:59:55+00:00,0,7,Twitter for Android,"RT @narendramodi_in: PM @narendramodi urges people to reduce plastic pollution, promotes use of non-plastic bags #MannKiBaat
https://t.co/T…"
58,Swapnil Gosavi,2022-09-26 08:59:55+00:00,0,1354,Twitter for Android,"RT @IFazilaBaloch: Happy #Navratri to our Hindu brother and sister's in India and across the globe.

Our Hindu community celebrating
Navrat…"
59,Kanika Sharma,2022-09-26 08:59:55+00:00,0,441,Twitter for Android,"RT @ProteasMenCSA: Touchdown India 🇮🇳

#INDvSA #BePartOfIt https://t.co/17duazX1CP"
60,European Gaming Media,2022-09-26 08:59:55+00:00,0,0,WordPress.com,Merkur Gaming India Celebrates its 10th Anniversary https://t.co/Cw77RNIQV0
61,Sharath Meghavath,2022-09-26 08:59:54+00:00,0,33,Twitter for Android,RT @ImTanujSingh: South Africa team have reached in India for the T20I series against India.
62,Jayeshpatel16,2022-09-26 08:59:54+00:00,0,14,Twitter for Android,"RT @imtechnonitin: डरने वालों को मिलता नहीं कुछ जिंदगी में,
लड़ने वालों के कदमों में जहान होता है।
#onlyOPS @vijaykbandhu  @imtechnonitin @…"
63,Aesa Perumal Pallava,2022-09-26 08:59:54+00:00,0,318,Twitter for Android,"RT @srinivasiyc: Hearty wishes to former PM of India, Dr. Manmohan Singh, on his birthday. 

A great economist who led India through thick…"
64,祭北乃熊⚔️,2022-09-26 08:59:54+00:00,0,168,Twitter for Android,"RT @unifugu: 京都にインド映画ファンスペースができたよ〜！
四条烏丸のindia gate @kyotoINDIAGATE さんにバーフバリフィギュアと映画ポスターを展示させて頂けることになりました！ようやく完成です！✌️
有名作品から超マイナー作品までかなりの点数…"
65,sanjay,2022-09-26 08:59:54+00:00,0,67,Twitter for Android,RT @AsYouNotWish: Pakistani strategists are miffed that Indian foreign minister didn’t mention Pakistan even once at the UN because India d…
66,Manu Chandna,2022-09-26 08:59:54+00:00,0,50,Twitter Web App,RT @RuchiraC: A statesman who steered India on the path of development and an inspiration in every way; wishing former PM Dr #ManmohanSingh…
67,RRAVID,2022-09-26 08:59:54+00:00,0,56,Twitter for Android,"RT @AaronMathewINC: We walk for a better future for India.
Come walk with Rahul Gandhi. https://t.co/hQO0UYkMmk"
68,𝗥𝗢𝗟𝗘𝗫 | 𝗔 𝗧 𝗛 𝗥 𝗘 𝗬 𝗔 😈,2022-09-26 08:59:53+00:00,0,19,Twitter for Android,"RT @ZeeTamilNews: ரசிகர்களுக்கு கடுமையான எச்சரிக்கை விடுத்த 'சூர்யா 42' படக்குழுவினர்!

#Suriya42 | #Suriya | #Siruthaisiva

https://t.co/C…"
69,BRAND NEW DAY,2022-09-26 08:59:53+00:00,0,28,Twitter for Android,"RT @TeamEXOIndia: [EXO XIUMIN - 'BRAND NEW’ India Group Order]

🔷Photobook: ₹1900/-
🔷 Digipack: ₹1500/-

Pre-order Form: https://t.co/uHbLJ…"
70,Neetika,2022-09-26 08:59:53+00:00,0,44,Twitter for iPhone,"RT @AdeParimal: India is now the fifth-largest economy in the world with a 3.5% share in global GDP. In 2014, India was the 10th largest ec…"
71,KJ95,2022-09-26 08:59:53+00:00,0,8,Twitter Web App,RT @imtechnonitin: किस्मत का तो पता नहीं हम सब की मेहनत OPS जरूर दिलवाएगी @vijaykbandhu  @imtechnonitin @bprawatNOPRUF @NOPRUF_INDIA @DrPan…
72,Ganpatbhai,2022-09-26 08:59:53+00:00,0,0,Twitter for Android,"@PMO INDIA
@CMOGuj 
#RestoreOPS"
73,Dhanshyam Patel,2022-09-26 08:59:53+00:00,0,670,Twitter for Android,"RT @Aabhas24: Of the remaining 9 Atash Behrams (Main Fire Temples) India has 8 while Iran has only one.

Smaller temples (Agiarys) exist 15…"
74,YFHK,2022-09-26 08:59:52+00:00,0,2190,Twitter for Android,"RT @PanickarS: 1921 is among the darkest years in the history of not just Malabar, but India too. Atrocities committed against women, inclu…"
75,INTOLERANT TIMES OF INDIA,2022-09-26 08:59:52+00:00,0,774,Twitter Web App,"RT @swati_gs: Another batch of Hindus-Sikhs arrive in India from Afghanistan to save their lives. While 20,000 Afghan Sikhs are in India, o…"
76,jpc,2022-09-26 08:59:52+00:00,0,13,Twitter for Android,"RT @imtechnonitin: *એકજુટ બની હૃદયના ઊંડાણથી હકની માંગણીને બુલંદ કરો.
જૂની પેન્શન યોજના મેળવતા તમને કોઈ રોકી નહિ શકે @vijaykbandhu  @imtech…"
77,Iconic_Sidharth🇮🇳 🕗,2022-09-26 08:59:52+00:00,0,0,Twitter for Android,@AsYouNotWish Pakistan's consistent failed diplomacy and its obsession with #India has posed a serious challenge in… https://t.co/4TlulanouO
78,Ivan Eric,2022-09-26 08:59:52+00:00,0,514,Twitter for Android,RT @IrfanPathan: Mubarakaa team india 🇮🇳 👏 #INDvAUS
79,shivani,2022-09-26 08:59:52+00:00,0,431,Twitter Web App,"RT @thakkar_sameet: Colonialism ensured that we were one of the poorest nations of the world.

The smile, the smirk and the confidence of M…"
80,Santhosh Reddy,2022-09-26 08:59:52+00:00,0,0,Twitter for Android,"And when $ falls,FII invest more in Indian equity market(1$=₹60 more dollar returns)

That's why during the covid-1… https://t.co/L5DYdaMeOR"
81,Seekingandspeaking,2022-09-26 08:59:51+00:00,0,0,Twitter for Android,Follow his inspiring journey. 16 year old school boy Sahil cycling across India for soil. #SaveSoil https://t.co/HlBuEiEWOE
82,Jayeshpatel16,2022-09-26 08:59:51+00:00,0,17,Twitter for Android,"RT @imtechnonitin: लोग कहते हैं कि आंदोलन, प्रदर्शनऔर जुलूस निकालने से क्या होता है?
इससे सिद्ध होता हैकि हम जीवित हैं
@Vijaykbandhu  @imte…"
83,Ranjeet Kumar,2022-09-26 08:59:51+00:00,0,534,Twitter for Android,"RT @bharatjodo: The women of India are standing up against - burdening price rise, unprecedented unemployment &amp; communal hatred.

Millions…"
84, s roy,2022-09-26 08:59:51+00:00,0,0,Twitter for Android,Agree fully that biased coverage seeks to propagate a narrative distinct from reality and must be contested by ever… https://t.co/7wh1iYPkMO
85,Nehru Yuva Kendra SBS Nagar,2022-09-26 08:59:51+00:00,0,7,Twitter Web App,"RT @NyksVellore: #YuvaUtsav :Yuva Samvad - India@2047
Launching India's biggest Youth Festival to Participate.
For contact:7871018253, dycn…"
86, s roy,2022-09-26 08:59:51+00:00,0,0,Twitter for Android,Biased' coverage of India: EAM Jaishankar takes dig at American media - India News https://t.co/DsS0EINrNh
87,Sharath Meghavath,2022-09-26 08:59:50+00:00,0,143,Twitter for Android,RT @CricCrazyJohns: India retains the number 1 position in the T20 format in the latest ICC ranking.
88,Dev Choudhary,2022-09-26 08:59:50+00:00,0,5,Twitter for iPhone,RT @TheLegateIN: NaVIC to be made compulsory for smartphones in India.
89,Sheeboz Sheriff,2022-09-26 08:59:50+00:00,0,0,Twitter for Android,"@AskAnshul Dont worry
India wale bhi yehi kuch karte hain"
90,Ashok Kumar,2022-09-26 08:59:50+00:00,0,339,Twitter for Android,"RT @INCIndia: Price rise, unemployment, communal harmony. Different women, different issues, connected by a common goal--a dream of a bette…"
91,Lakhan pal,2022-09-26 08:59:50+00:00,0,0,Twitter for Android,#festival #music #love #dj #party #rave #photography #dance #hficaib #india #art #concert #edm #techno #instagram… https://t.co/T2pianyhex
92,Naresh Patel,2022-09-26 08:59:50+00:00,0,724,Twitter for Android,"RT @imtechnonitin: ये बहन चार दिनों से अनशन कर रही है गांधीनगर में OPS के लिए।में गांधीनगर, अहमदाबाद, मेहसाणा के कार्मिकों से निवेदन करता…"
93,Thoothukudi People 💕,2022-09-26 08:59:50+00:00,0,0,Twitter for Android,உலகப் புகழ்பெற்ற தூத்துக்குடி  குலசை முத்தாரம்மன் தசரா திருவிழா கொடியேற்றத்துடன் கோலாகலமாக தொடங்கியது....… https://t.co/ZMTvSak7ok
94,Faiz Akram,2022-09-26 08:59:50+00:00,0,441,Twitter for Android,"RT @ProteasMenCSA: Touchdown India 🇮🇳

#INDvSA #BePartOfIt https://t.co/17duazX1CP"
95,Aroon Rao,2022-09-26 08:59:50+00:00,0,76,Twitter for Android,"RT @yoursurajnaik: If you Feel India is not Safe in BJP rule please join #BharatJodoYatra, 
Requesting all the Students, Unemployed people,…"
96,Santhosh Reddy,2022-09-26 08:59:50+00:00,0,0,Twitter for Android,"After 3 months,if 1$ = ₹80(dollar appreciates) then the investment value of FII in $ terms down by 12.5%(₹ 70,000/8… https://t.co/NHtKJjHhtM"
97,🅿️,2022-09-26 08:59:50+00:00,0,2221,Twitter Web App,RT @JU_deeBooty: India's low body count didn't stop Durk from cheating. Jayda holding Lil Baby down didn't stop him from cheating. Beyoncé…
98,Sushilkumar Upadhyay,2022-09-26 08:59:50+00:00,0,39,Twitter for iPhone,RT @mssirsa: Bill Gates writes a piece on how PM @narendramodi Ji’s welfare and empowerment schemes should be a blueprint for many countrie…
99,Sheelu,2022-09-26 08:59:49+00:00,0,468,Twitter for Android,"RT @kcvenugopalmp: Joining the nation in wishing Dr. Manmohan Singh a Happy 90th Birthday. In his graceful and self-effacing manner, he led…"
,User,Date Created,Number of Likes,Number of Retweet,Source of Tweet,Tweet
0,ArtAlicjaAnton 🫦,2022-09-26 09:00:03+00:00,0,0,Twitter for iPhone,@bHaRaT_BTBN @opensea @SuperRare Thank you so much my dear ❤️💟⭐️
1,Learning Network Eastern Region,2022-09-26 09:00:01+00:00,0,0,Twitter Web App,"Introducing the Threads and Themes blog, written by our very own Dr Nigel Pimlott and Rev'd Dr Raj Bharat Patta, an… https://t.co/EunnMnnQTa"
2,Bansikumar Kalariya,2022-09-26 09:00:01+00:00,0,75,Twitter for Android,RT @ias_keeda: Atmnirbhar Bharat #UPSC https://t.co/bQ4iy89E2P
3,*বাংলার হিন্দু*,2022-09-26 09:00:00+00:00,0,1,Twitter Web App,RT @pathak_rajani17: This is how Rahul Gandhi Great Son Of Congress President from Italy Sonia Gandhi run its Bharat Jodo Yatra while Rajas…
4,Narayanan 🇮🇳,2022-09-26 08:59:59+00:00,0,94,Twitter Web App,"RT @MumbaichaDon: While Raul Vinci is on pleasure trip ""Bharat Todo Yatra"" with aim of defeating Right Wing Nationalist Modi Govt...FAR-RIG…"
5,✨BTBN🌠🌑,2022-09-26 08:59:59+00:00,0,0,Twitter for Android,"@sakaewaira Good Morning ☀Sakesha💎
Have a Great Week 💎🤍🙌"
6,neeru nagar,2022-09-26 08:59:58+00:00,0,780,Twitter for Android,"RT @vivekagnihotri: Pl read this thread. And rethink about CAA. In the case of persecution where will Hindus, Sikhs and Jains go? Bharat is…"
7,"मिर्ची, हाय - हाय मिर्ची",2022-09-26 08:59:58+00:00,0,176,Twitter for Android,"RT @bharatjodo: “It’s a great program to unite India!”

Read here about what Indians from all walks of life have to say about the #BharatJo…"
8,இராஜராஜ சோழன் Bala பாலா,2022-09-26 08:59:58+00:00,0,68,Twitter Web App,"RT @MJ_007Club: While Bharat Todo Yatra is on full swing:

- Congress lost Goa MLA's

- Interesting events shaping up in Rajasthan Congress…"
9,Inzemam Khan,2022-09-26 08:59:57+00:00,0,119,Twitter Web App,"RT @MorariBapu_: Discover ones self

Source: Katha 880 I Manas Bharat Charitra I Day 5 I 02-06-21 I Chitrakoot Dham, MP

Clip duration: 00:…"
10,Vish_M,2022-09-26 08:59:56+00:00,0,134,Twitter for Android,"RT @AnshumanSail: Milestone of 414 Kms completed for the Bharat Jodo Yatra.

Look at the enthusiasm of the common people on the way of Pady…"
11,Dhanshyam Patel,2022-09-26 08:59:53+00:00,0,670,Twitter for Android,"RT @Aabhas24: Of the remaining 9 Atash Behrams (Main Fire Temples) India has 8 while Iran has only one.

Smaller temples (Agiarys) exist 15…"
12,Jai Singh Patel,2022-09-26 08:59:49+00:00,0,4,Twitter Web App,"RT @nrnjnbehera: Ayushman Bharat Digital Mission crosses 10 mn digitally linked records
https://t.co/uKn2CW9NaJ

via NaMo App https://t.co/…"
13,താന്തോന്നി ™ आत्मनिर्भर,2022-09-26 08:59:49+00:00,0,94,Twitter for Android,"RT @MumbaichaDon: While Raul Vinci is on pleasure trip ""Bharat Todo Yatra"" with aim of defeating Right Wing Nationalist Modi Govt...FAR-RIG…"
14,Vivek,2022-09-26 08:59:48+00:00,0,647,Twitter for Android,"RT @rahulkanwal: After flexing muscles in Rajasthan, don’t see how Gehlot can still be the Gandhi family’s choice for Congress President. W…"
15,Emir.b,2022-09-26 08:59:47+00:00,0,119,Twitter Web App,"RT @MorariBapu_: Discover ones self

Source: Katha 880 I Manas Bharat Charitra I Day 5 I 02-06-21 I Chitrakoot Dham, MP

Clip duration: 00:…"
16,mehdi sabah,2022-09-26 08:59:47+00:00,0,119,Twitter Web App,"RT @MorariBapu_: Discover ones self

Source: Katha 880 I Manas Bharat Charitra I Day 5 I 02-06-21 I Chitrakoot Dham, MP

Clip duration: 00:…"
17,RAMESH CHANDRA KATARA,2022-09-26 08:59:46+00:00,0,0,Twitter for Android,@bharat_dhamot जनता ने तो ऐसी लंगड़ी सरकार आज तक नहीं देखी। जनता तो इस सरकार से बस मुक्ति चाहती है और इन कोंग्रेस… https://t.co/dUMfGBVmWN
18,Anjali Pai,2022-09-26 08:59:44+00:00,0,142,Twitter for Android,"RT @mvmeet: After Rahul Gandhi started his ""Bharat Jodo Yatra""

* 8 Congress MLAs resigned in Goa

* Over 90 Congress MLAs in Rajasthan hav…"
19,somya oberoi,2022-09-26 08:59:40+00:00,0,0,Twitter for Android,"@ZafarSaifii Madam poore sansar ki zameen bharat me hi to thi ,lakin phir dheere dheere aap jaise buddhijeeviyon se… https://t.co/ndbQVPDiwU"
20,qassa,2022-09-26 08:59:39+00:00,0,119,Twitter Web App,"RT @MorariBapu_: Discover ones self

Source: Katha 880 I Manas Bharat Charitra I Day 5 I 02-06-21 I Chitrakoot Dham, MP

Clip duration: 00:…"
21,Surbhi✨,2022-09-26 08:59:37+00:00,0,10,Twitter for Android,RT @Nil_deshbhratar: #BharatJodoYatra is getting bigger with each passing day. Huge turnout of people is overwhelming and motivating all th…
22,Muninder Kumar,2022-09-26 08:59:37+00:00,0,780,Twitter for Android,"RT @vivekagnihotri: Pl read this thread. And rethink about CAA. In the case of persecution where will Hindus, Sikhs and Jains go? Bharat is…"
23,Mitesh Patel 🇮🇳,2022-09-26 08:59:36+00:00,0,94,Twitter for Android,"RT @MumbaichaDon: While Raul Vinci is on pleasure trip ""Bharat Todo Yatra"" with aim of defeating Right Wing Nationalist Modi Govt...FAR-RIG…"
24,Radhe Lal Rajput,2022-09-26 08:59:36+00:00,0,0,Twitter Web App,@prahladspatel @PMOIndia @narendramodi @BJP4India @jaljeevan_ @MoJSDoWRRDGR @ChouhanShivraj @BJP4MP jal jeevan mishan bharat sarkar JJM
25,Viveek Agrawal,2022-09-26 08:59:32+00:00,0,94,Twitter for Android,"RT @MumbaichaDon: While Raul Vinci is on pleasure trip ""Bharat Todo Yatra"" with aim of defeating Right Wing Nationalist Modi Govt...FAR-RIG…"
26,Amit,2022-09-26 08:59:31+00:00,0,94,Twitter for Android,"RT @MumbaichaDon: While Raul Vinci is on pleasure trip ""Bharat Todo Yatra"" with aim of defeating Right Wing Nationalist Modi Govt...FAR-RIG…"
27,#राजकुमार पान्डेय,2022-09-26 08:59:29+00:00,0,72,Twitter for Android,RT @Saroj_ShrnM: @AshwiniUpadhyay @narendramodi @myogiadityanath @thekiranbedi @smritiirani @KapilMishra_IND @sardanarohit @RSSorg @sambits…
28,✨BTBN🌠🌑,2022-09-26 08:59:29+00:00,0,0,Twitter for Android,@NeonGoldNFT Good Morning ☀Loreta💎
